"Start Time",	"Request Type",	"Latency",	"Response Code"
1622572774216	,POST	,90	,200
1622572774216	,POST	,90	,200
1622572774216	,POST	,90	,200
1622572774216	,POST	,91	,200
1622572774233	,POST	,90	,200
1622572774252	,POST	,97	,200
1622572774252	,POST	,97	,200
1622572774252	,POST	,97	,200
1622572774252	,POST	,97	,200
1622572774268	,POST	,81	,200
1622572774161	,POST	,188	,200
1622572774268	,POST	,81	,200
1622572774252	,POST	,97	,200
1622572774268	,POST	,81	,200
1622572774268	,POST	,81	,200
1622572774252	,POST	,97	,200
1622572774162	,POST	,187	,200
1622572774252	,POST	,97	,200
1622572774252	,POST	,97	,200
1622572774199	,POST	,178	,200
1622572774289	,POST	,88	,200
1622572774289	,POST	,88	,200
1622572774200	,POST	,177	,200
1622572774199	,POST	,178	,200
1622572774289	,POST	,88	,200
1622572774200	,POST	,177	,200
1622572774289	,POST	,88	,200
1622572774289	,POST	,88	,200
1622572774306	,POST	,91	,200
1622572774306	,POST	,91	,200
1622572774306	,POST	,91	,200
1622572774306	,POST	,91	,200
1622572774306	,POST	,91	,200
1622572774306	,POST	,91	,200
1622572774306	,POST	,91	,200
1622572774306	,POST	,91	,200
1622572774306	,POST	,91	,200
1622572774306	,POST	,91	,200
1622572774323	,POST	,90	,200
1622572774323	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
1622572774349	,POST	,90	,200
